seq,timestamp_ms,px_m,py_m,d1_m,d2_m,anchor1_id,anchor2_id,valid,reason_code
50,-576451248072,1.7743050919224155,2.370058996458547,3.733947568217763,2.861113644699485,1,2,1,
51,-576451247880,1.735000560116334,2.2917639590522807,3.7170858648430776,2.774658984395467,1,2,1,
53,-576451247676,1.6961667168242083,2.1960020515939607,3.691658055475906,2.6745229468716216,1,2,1,
54,-576451247556,1.6696570656376992,2.136220321615086,3.6790343203290825,2.6107735508898715,1,2,1,
55,-576451247367,1.6893086868582063,2.0519928901918516,3.615554966447915,2.556145073054673,1,2,1,
56,-576451247266,1.663410300658732,2.043382517496232,3.6324166698226,2.5333427776882935,1,2,1,
57,-576451247061,1.640035878246298,2.0385950654361302,3.6493685427340483,2.5151979724393017,1,2,1,
58,-576451247033,1.6667745901633735,1.9942240944542748,3.602841061764329,2.4969561361461983,1,2,1,
59,-576451246856,1.7287922064941164,1.8942988331179749,3.497072195141305,2.4605694946041035,1,2,1,
60,-576451246754,1.6822153732941358,1.8503724885900046,3.514024068052753,2.396820098622353,1,2,1,
61,-576451246549,1.687166795253543,1.833818640021852,3.5013101633691663,2.387699180475801,1,2,1,
62,-576451246444,1.7056161658498086,1.8233874114183963,3.480120322229857,2.392259639549077,1,2,1,
63,-576451246344,1.6895362307503548,1.8378145189441315,3.5013101633691663,2.392259639549077,1,2,1,
64,-576451246242,1.6693186289455255,1.7948450834311325,3.497072195141305,2.3467520798604307,1,2,1,
65,-576451246109,1.653596983853756,1.7844441086868394,3.5055481315970285,2.328510243567327,1,2,1,
66,-576451245935,1.6508362861469723,1.8052117826790655,3.518262036280614,2.3421916207871543,1,2,1,
67,-576451245833,1.6379088841099012,1.8165497028562194,3.5351237396552992,2.3421916207871543,1,2,1,
68,-576451245719,1.63461230401413,1.8613325499600457,3.5605515490224717,2.3740178032559736,1,2,1,
69,-576451245590,1.6936104825811724,1.828064398792185,3.4928342269134425,2.387699180475801,1,2,1,
70,-576451245458,1.6841779531742715,1.8120182514883036,3.4928342269134425,2.3694573441826976,1,2,1,
71,-576451245327,1.7286661211635677,1.8208751627218143,3.459020650627309,2.405941016768905,1,2,1,
72,-576451245197,1.7318509558221602,1.8179407892102315,3.4547826823994474,2.405941016768905,1,2,1,
73,-576451245013,1.722290592810094,1.8756882600900855,3.4928342269134425,2.4423276583109996,1,2,1,
74,-576451244911,1.787061128549491,1.8597684869570603,3.4293548730322754,2.474153840779819,1,2,1,
75,-576451244806,1.8288916203728913,1.8389264481592726,3.382827392062556,2.487835217999647,1,2,1,
76,-576451244604,1.857357039750951,1.8366500599978732,3.3574897522321465,2.50607705429275,1,2,1,
77,-576451244498,1.9035074840452926,1.8225971820841198,3.3109622712624276,2.5287823186150176,1,2,1,
78,-576451244399,1.9317981262236157,1.8587244130326614,3.3067243030345654,2.5742898783036647,1,2,1,
79,-576451244194,1.9809027221619488,1.8866863295096497,3.2812964936673934,2.628918356138863,1,2,1,
80,-576451244091,2.0179866429278572,1.8811061277735146,3.24748291738126,2.651720651505242,1,2,1,
81,-576451244014,2.1087352804892525,1.863644999110777,3.162903891897546,2.706349129340441,1,2,1,
82,-576451243882,2.1453940853091398,1.856828861503394,3.1290001460746497,2.7291514247068203,1,2,1,
83,-576451243682,2.223397089029552,1.8781047208599846,3.0782346968770686,2.8019247077910103,1,2,1,
84,-576451243579,2.234795060138994,1.8508178823548598,3.0528970570466587,2.792900820688571,1,2,1,
85,-576451243481,2.335932421652758,1.8858290957432833,2.993172895736261,2.893036858212416,1,2,1,
86,-576451243358,2.344900119559155,1.8676136447515748,2.9749310594431573,2.8884763991391407,1,2,1,
87,-576451243199,2.35673446223754,1.8382498575063564,2.9476653360476144,2.8793554809925888,1,2,1,
88,-576451243068,2.3540266057669914,1.8195909497757814,2.938544417901063,2.865674103772761,1,2,1,
89,-576451242963,2.359844133491288,1.8121556575282514,2.9294234997545106,2.865674103772761,1,2,1,
90,-576451242760,2.3537376300406967,1.8493437260024894,2.9567862541941663,2.8839159400658643,1,2,1,
91,-576451242658,2.3508664640106742,1.852934083808408,2.9612496822233307,2.8839159400658643,1,2,1,
92,-576451242556,2.3711542355432687,1.8420716228291318,2.938544417901063,2.893036858212416,1,2,1,
93,-576451242445,2.4230282367324345,1.8346741585672612,2.893036858212416,2.9294234997545106,1,2,1,
94,-576451242248,2.388383029583545,1.8642409647177924,2.938544417901063,2.9203025816079595,1,2,1,
95,-576451242146,2.414735491792313,1.9332328076990521,2.9612496822233307,2.9840519775897096,1,2,1,
96,-576451242043,2.394092239508971,1.9440315744633994,2.9840519775897096,2.9749310594431573,1,2,1,
97,-576451241922,2.350489574438455,1.9324342076159253,3.010607544304802,2.9339839588277874,1,2,1,
98,-576451241792,2.3799800463950787,1.9751641989704023,3.014755342995901,2.9840519775897096,1,2,1,
99,-576451241659,2.4420641933684837,2.014894367873621,2.993172895736261,3.057135025274521,1,2,1,
100,-576451241529,2.371799527564346,1.9918370691525809,3.031707215907349,2.988612436662986,1,2,1,
101,-576451241397,2.3944192212380098,2.0703254688227353,3.0655207921934817,3.057135025274521,1,2,1,
102,-576451241266,2.4028457308217432,2.1117625463485927,3.086710633332792,3.090948601560654,1,2,1,
103,-576451241137,2.402857444109591,2.1307615300113847,3.0994245380163785,3.1036625062442402,1,2,1,
104,-576451241006,2.4319698395577336,2.217901141605485,3.1374760825303736,3.1840035635000925,1,2,1,
105,-576451240875,2.4028576671693362,2.230349665736191,3.1671418601254073,3.171289658816507,1,2,1,
106,-576451240744,2.388359659758406,2.23956562581463,3.1840035635000925,3.1671418601254073,1,2,1,
107,-576451240614,2.3941097447549504,2.2701319412725263,3.2009554364115407,3.192479499955817,1,2,1,
108,-576451240483,2.3638339919914735,2.3842545650829337,3.3024863348067033,3.2517208856091218,1,2,1,
109,-576451240352,2.40608514441733,2.419893863230404,3.298248366578841,3.3067243030345654,1,2,1,
110,-576451240220,2.38174456674801,2.4198616782660753,3.3152002394902893,3.2897724301231177,1,2,1,
111,-576451240085,2.3570326737886327,2.4666566007047765,3.365965688687871,3.3067243030345654,1,2,1,
112,-576451239953,2.38452400534491,2.498845362056208,3.370203656915733,3.3490138157764227,1,2,1,
113,-576451239820,2.450235183944518,2.5706000807915745,3.3785894238346943,3.4463067459437235,1,2,1,
114,-576451239585,2.4251776035275623,2.5879886884263663,3.4082552014297276,3.442068777715861,1,2,1,
115,-576451239558,2.500213765402959,2.7084204608328677,3.4505447141715853,3.581651220625019,1,2,1,
